Date,<10,10s,20s,30s,40s,50s,60s,70s,กร80,unknown
2021-01-27,9707,24070,83905,56551,53354,49072,31373,27240,26504,8613
2021-01-20,8569,21566,78300,52521,48919,44854,28402,24414,23063,8229
2021-01-13,7160,18377,69311,46455,42939,39148,24823,21243,19967,1911
2021-01-06,5921,15206,58346,39432,36735,33344,21428,18465,17399,5371
2020-12-29,5250,13415,51820,34952,32403,29446,18957,16346,15423,4073
2020-12-23,4743,12209,47766,31928,29365,26769,17141,14636,13805,3766
2020-12-16,4002,10284,42246,27858,25205,22761,14512,12119,11302,12903
2020-12-09,3637,8992,39125,25526,22901,20614,13121,10905,10131,10233
2020-12-02,3307,8145,36599,23757,20962,18871,11878,9808,9084,7275
2020-11-25,3020,7302,34061,22011,19149,17120,10730,8791,8111,4294
2020-11-18,2800,6608,31550,20299,17254,15313,9537,7885,7391,1507
2020-11-11,2614,5925,29336,18714,15707,13854,8652,7169,6722,809
2020-11-04,2485,5424,27686,17576,14647,12919,8068,6693,6229,639
2020-10-28,2385,5134,26507,16706,13857,12215,7641,6411,5900,524
2020-10-21,2294,4924,25426,16060,13227,11642,7263,6111,5641,473
2020-10-14,2211,4641,24607,15421,12628,11138,6950,5871,5429,455
2020-10-07,2112,4399,23707,14816,12064,10658,6666,5629,5267,448
2020-09-30,2011,4194,22833,14251,11554,10206,6363,5397,5093,424
2020-09-23,1903,3999,22111,13691,11032,9762,6086,5169,4919,466
2020-09-16,1798,3766,21380,13151,10522,9336,5845,4934,4719,403
2020-09-09,1642,3550,20589,12436,9935,8847,5551,4697,4496,391
2020-09-02,1525,3350,19827,11804,9378,8348,5224,4402,4238,399
2020-08-26,1342,3049,18602,10960,8674,7727,4766,3982,3891,379
2020-08-19,1144,2737,17075,9921,7796,6867,4272,3535,3451,342
2020-08-12,937,2283,15206,8728,6733,5991,3678,3014,2941,348
2020-07-22,469,852,6616,4337,3727,3542,2333,1994,2078,111
2020-07-15,409,655,4987,3650,3236,3210,2143,1882,1968,94
2020-07-08,333,529,4022,3192,2976,3014,2043,1826,1925,63
,306,469,3400,2899,2816,2910,1982,1800,1884,46
,287,428,2988,2666,2707,2812,1930,1744,1826,52
,284,418,2854,2605,2684,2787,1905,1709,1802,49
,284,411,2786,2559,2658,2759,1882,1682,1779,53
,278,390,2717,2502,2620,2733,1865,1637,1733,50
,253,356,2446,2257,2431,2546,1736,1490,1513,272
,252,355,2430,2241,2419,2530,1726,1476,1484,273
,246,352,2381,2199,2386,2487,1691,1444,1435,274
,242,348,2343,2163,2349,2463,1668,1419,1406,276
,238,337,2297,2125,2315,2417,1629,1383,1369,273
,234,336,2268,2081,2279,2396,1602,1353,1299,272
,228,331,2245,2059,2255,2370,1582,1327,1263,269
,222,320,2215,2032,2224,2341,1560,1298,1218,265
,215,312,2173,2004,2188,2300,1539,1263,1165,263
,212,308,2140,1972,2165,2271,1516,1243,1144,261
,206,303,2112,1954,2134,2230,1493,1222,1116,261
,203,292,2083,1903,2090,2183,1459,1194,1074,200
,194,282,2002,1856,2038,2124,1410,1153,1025,156
,187,266,1948,1809,1959,2055,1373,1095,938,142
,165,260,1874,1755,1914,1994,1327,1051,903,107
,162,251,1784,1666,1832,1880,1257,994,843,304
,158,244,1724,1614,1776,1827,1224,957,782,302
,154,235,1654,1556,1687,1766,1173,907,732,355
,151,223,1577,1473,1603,1656,1103,843,655,370
,146,207,1503,1422,1541,1582,1045,808,630,143
,131,196,1416,1326,1446,1478,988,767,584,108
,122,184,1343,1263,1366,1384,928,712,541,121
,111,171,1247,1178,1262,1285,863,671,518,197
,103,167,1182,1128,1199,1200,809,649,496,188
